valid_time,temperatura_2m,velocidad_viento,precipitacion,presion_superficial
2024-10-24 12:00:00,18.627623,2.1092908,0.09409337,940.7914
2024-10-25 00:00:00,12.837394,1.6909789,0.24736008,938.3927
2024-10-25 12:00:00,18.058691,2.9689925,0.27926254,935.3152
2024-10-26 00:00:00,12.830962,1.5689653,7.6421733,932.45593
2024-10-26 12:00:00,13.8650255,4.241698,5.8086658,930.9
2024-10-27 00:00:00,7.591446,1.6318884,6.471108,932.0038
2024-10-27 12:00:00,10.353878,2.963382,3.5646346,933.90375
2024-10-28 00:00:00,9.289597,1.9777472,13.510145,936.0587
2024-10-28 12:00:00,14.861843,3.4345574,7.9583507,937.14496
2024-10-29 00:00:00,13.414854,3.582273,11.954722,937.51917
2024-10-29 12:00:00,15.682982,4.6912475,18.748772,935.1679
2024-10-30 00:00:00,14.933838,4.427163,39.97869,932.5754
2024-10-30 12:00:00,16.846603,2.5941083,10.968721,934.57495
2024-10-31 00:00:00,13.408532,1.7984145,12.404988,936.6984
2024-10-31 12:00:00,17.004217,2.6204567,2.981401,938.4729
2024-11-01 00:00:00,12.675725,1.6338019,3.832451,939.06726
2024-11-01 12:00:00,16.728642,2.4793727,0.65096253,938.43274
2024-11-02 00:00:00,12.372496,1.5374207,4.781526,938.0012
2024-11-02 12:00:00,15.469593,1.5725632,6.383968,937.24835
2024-11-03 00:00:00,12.151894,1.3745204,7.612532,939.6637
2024-11-03 12:00:00,15.900157,3.4381447,1.027781,939.9183
2024-11-04 00:00:00,12.9823,1.6733038,6.32105,938.92847
2024-11-04 12:00:00,16.818687,2.7541456,1.1285523,939.1502
2024-11-05 00:00:00,13.520274,1.3131826,1.4700111,939.75287
2024-11-05 12:00:00,18.329538,1.2752559,0.108783804,940.7178
2024-11-06 00:00:00,12.004888,1.2926909,0.19838715,941.3948
2024-11-06 12:00:00,17.116995,1.8245121,0.7222876,942.393
2024-11-07 00:00:00,12.308036,1.3185046,2.1029637,942.07434
2024-11-07 12:00:00,16.178936,1.719211,0.52469313,940.6814
2024-11-08 00:00:00,11.567252,1.113289,0.9433039,940.3714
2024-11-08 12:00:00,16.567307,2.0162818,0.046157915,939.3643
2024-11-09 00:00:00,11.553796,1.6621114,0.20405929,939.8759
2024-11-09 12:00:00,17.199345,2.9515245,0.056358427,940.3342
2024-11-10 00:00:00,10.552344,2.5224574,0.21371552,941.4897
2024-11-10 12:00:00,16.003317,2.8060064,0.0224153,941.2426
2024-11-11 00:00:00,9.2737465,2.1241863,0.033422504,940.90344
2024-11-11 12:00:00,14.835954,2.2244632,0.06945019,941.8371
2024-11-12 00:00:00,8.442568,1.8933483,0.22976911,940.6827
2024-11-12 12:00:00,13.08814,3.4897425,0.02400729,935.31757
2024-11-13 00:00:00,6.4309473,3.1286235,2.8411143,933.1529
2024-11-13 12:00:00,8.410311,4.081822,4.745702,932.4721
2024-11-14 00:00:00,10.306027,2.1331224,7.791511,935.99414
2024-11-14 12:00:00,14.346865,3.5357978,1.92124,936.6713
2024-11-15 00:00:00,11.5422945,2.6351995,3.428661,938.1244
2024-11-15 12:00:00,13.808748,3.9550524,0.5559572,939.06146
2024-11-16 00:00:00,9.804314,1.7322185,0.7234848,938.9408
2024-11-16 12:00:00,14.692388,2.3351402,0.06277709,938.2193
2024-11-17 00:00:00,8.878832,1.4118468,0.13207002,937.6106
2024-11-17 12:00:00,17.143454,1.1871074,0.01844015,937.23206
2024-11-18 00:00:00,9.029948,1.6164743,0.07352386,936.59546
2024-11-18 12:00:00,17.74029,1.6372191,0.029194972,936.53406
2024-11-19 00:00:00,8.624674,1.7320629,0.6434971,935.5456
2024-11-19 12:00:00,17.182703,2.9372692,0.032295037,935.6932
2024-11-20 00:00:00,11.06264,3.561941,0.04541598,935.0213
2024-11-20 12:00:00,14.937188,5.1697226,0.005113627,934.58527
2024-11-21 00:00:00,10.388399,4.2330055,0.0051871752,934.9712
2024-11-21 12:00:00,13.769557,5.6653214,0.009636573,930.7524
2024-11-22 00:00:00,11.079957,6.435539,0.08320172,928.19666
2024-11-22 12:00:00,13.114649,4.0913234,0.5079757,934.5523
